"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","DB","BBarcode","b1test","name"
788550859,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.49935,47.19516,1966,"8",27,"Austria","No locality information available","1308007","M. Steiner","Tirol","LD","General","GBIF",NA,20,"Hypotrachyna revoluta"
1144697632,"f577c9f3-ae71-4278-b6bf-512ba1dfaa21",19.49167,48.7075,1962,"7",20,"Slovakia","Slovaquie - Slovakia boreoorient., Nizke Poloniny, in convalle rivi Hlboky potok prope pag. Nova Sedlica.","G-G-244565/1","Pisút, I. & L. Opold (Coll. Rondon)",NA,"G","Geneva Herbarium – General Collection (G)","GBIF",NA,44,"Hypotrachyna revoluta"
788550979,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",21.22132,49.12644,1962,"7",20,"Slovakia","No locality information available","1308127","I. Pisút","Presovsky kraj","LD","General","GBIF",NA,63,"Hypotrachyna revoluta"
2449365630,"85739778-f762-11e1-a439-00145eb45e9a",8.1833,48.65,1961,"4",6,"Germany","GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn bei Neusatzeck.","178777","H. Reznik",NA,"B","Lichen Herbarium Berlin","GBIF",NA,78,"Hypotrachyna revoluta"
911978937,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.185833,47.231117,1959,"8",5,"Austria","Hohe Tauern, Krimml, am Wege zum Falkenstein","3953",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,51,"Hypotrachyna revoluta"
1632918685,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.42322,48.9469,1959,NA,NA,"Germany","No locality information available","1905747","E. Putzler","Bayern","LD","General","GBIF",NA,77,"Hypotrachyna revoluta"
788545478,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.22597,49.96282,1958,"9",20,"Poland","No locality information available","1302607","K. Glanc","Podkarpackie","LD","General","GBIF",NA,67,"Hypotrachyna revoluta"
911978910,"828a3d8c-f762-11e1-a439-00145eb45e9a",22.666667,49.1375,1958,"9",20,"Poland","Bieszczady Zachodnie, prope rivulum Wolosaty in vico Berezki","3952",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,54,"Hypotrachyna revoluta"
911978915,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.575,47.60305,1954,"5",1,"Germany","Allgäu, Pfronten, w Zell, 1/2 m über den Boden","3956",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,64,"Hypotrachyna revoluta"
911979138,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.579167,47.60195,1954,"5",1,"Germany","Allgäu, Pfronten, w Zell, 1/2 m über den Boden","19790",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,64,"Hypotrachyna revoluta"
NA,NA,10.5,47.466667,1953,"1.5.1953",NA,NA,"Austria, Tyrol, Ausserfern, Vilstal near Rehbach","M-0302880","A. Schröppel",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA,40,"Hypotrachyna revoluta"
911978902,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.73555,47.633883,1952,NA,NA,"Germany","Allgäu, Dietringen","3957",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,71,"Hypotrachyna revoluta"
788552712,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,1949,"5",22,"Switzerland","Bantiger","1309867","Ove Almborn","Bern","LD","General","GBIF",NA,78,"Hypotrachyna revoluta"
788552772,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.491944,47.349444,1949,"5",19,"Switzerland","Uetliberg","1309927","Ove Almborn","Zürich","LD","General","GBIF",NA,84,"Hypotrachyna revoluta"
2237881894,"84d26682-f762-11e1-a439-00145eb45e9a",9.451133,54.84274,1946,"7",10,"Denmark","Kollund","DMS-1019753","Ove Almborn",NA,NA,NA,"GBIF",NA,79,"Hypotrachyna revoluta"
825521,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.4525,54.840556,1946,"7",20,"Denmark","Kollund","1087857","Ove Almborn","Jylland","LD","General","GBIF",NA,79,"Hypotrachyna revoluta"
2237866387,"84d26682-f762-11e1-a439-00145eb45e9a",11.95582,54.83478,1943,"5",30,"Denmark","Virket Lyng","DMS-1004749","Mogens Skytte Christiansen",NA,NA,NA,"GBIF",NA,82,"Hypotrachyna revoluta"
NA,NA,9.433333,54.583333,1943,NA,NA,"GERMANY","DEUTSCHLAND, Schleswig-Holstein: Steinholz bei Bollingstedt, an Esche.","97452","Saxen",NA,"BERLIN_DB",NA,"BERLIN_DB","B 60 0141452",83,"Hypotrachyna revoluta"
234005618,"905daf20-04fd-11df-8c28-b8a03c50a862",16.38088,51.07989,1929,"4",20,"Poland",NA,"40940","Wihan Grauleman[?]",NA,"UME","General","GBIF",NA,81,"Hypotrachyna revoluta"
788551039,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",15.86514,50.38506,1926,NA,NA,"Czechia","No locality information available","1308187","J. Suza","Královéhradecky kraj","LD","General","GBIF",NA,74,"Hypotrachyna revoluta"
NA,NA,16.308917,50.082092,1926,"1926",NA,NA,"Czech Republic, Bohemia, near Potštejn","M-0302883","J. Suza",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA,72,"Hypotrachyna revoluta"
442143202,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,1922,"8",20,"Germany","Schwarzwald: Niederböllen (Belchen), 650 m.","B 60 0024616 / 145640 / 90029","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,61,"Hypotrachyna revoluta"
NA,NA,9.689979,48.799788,1922,"6.1922",NA,"Deutschland","Lorch am Rhein",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA,88,"Hypotrachyna revoluta"
NA,NA,10.254592,47.48486,1918,"13.7.1918",NA,"Deutschland","Allgäu, Tiefenberger Moos bei Sonthofen",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA,68,"Hypotrachyna revoluta"
442143211,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.828333,47.77639,1915,"10",31,"Germany","Schwarzwald: Bürchau - Elbenschwand (kleines Wiesental)","B 60 0030125 / 145847 / 90103","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,72,"Hypotrachyna revoluta"
442143258,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.008611,47.623333,1914,"6",14,"Germany","Schwarzwald: Hottingen - Hänner (bei Säckingen)","B 60 0111892 / 148498 / 91091","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,80,"Hypotrachyna revoluta"
442143207,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.646389,47.757221,1913,"11",23,"Germany","Baden: 4{a}) Obereggenen bei Kandern","B 60 0024618d / 149779 / 91549","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,92,"Hypotrachyna revoluta"
442143208,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.956111,47.649445,1911,"7",16,"Germany","[Schwarzwald] Baden: Wald Atdorf - Rüttekopf","B 60 0024695 / 145644 / 90031","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,75,"Hypotrachyna revoluta"
442143206,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1911,"9",17,"Germany","Baden:  4) Röttler Wald","B 60 0024618c / 149777 / 91548","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,94,"Hypotrachyna revoluta"
442143204,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.904722,47.630554,1910,"6",15,"Germany","Baden: 2) Wehr","B 60 0024618a / 149771 / 91545","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,91,"Hypotrachyna revoluta"
442143205,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.881667,47.773335,1910,"7",8,"Germany","Baden: 3) Wembach bei Schönau (Schwarzwald)","B 60 0024618b / 149775 / 91547","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,80,"Hypotrachyna revoluta"
442143203,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.740833,47.644165,1910,"8",14,"Germany","Baden: 1) Steinen - Scheinberg","B 60 0024618 / 145642 / 90030","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA,94,"Hypotrachyna revoluta"
NA,NA,11.11666,47.5,1904,"8.1904",NA,"Deutschland","Partenkirchen",NA,"Zopf",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA,71,"Hypotrachyna revoluta"
NA,NA,8.683733,49.404123,1903,"21.5.1903",NA,"Deutschland","Heidelberg",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA,101,"Hypotrachyna revoluta"
911978759,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.05,46.133333,1899,"4",4,"Romania","Transsylvania, Langenthal","12246",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,91,"Hypotrachyna revoluta"
788550619,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.653056,47.971111,1892,"9",NA,"Germany","Sauerlach","1307767","F. Arnold","Bayern","LD","General","GBIF",NA,77,"Hypotrachyna revoluta"
NA,NA,8.816827,51.783327,1865,"3.1865",NA,"Deutschland","Bad Lippspringe",NA,"Beckhaus",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA,90,"Hypotrachyna revoluta"
911978714,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.777783,50.891667,1837,NA,NA,"Poland","vom Riesengebirge im Grünbusch","12245",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,68,"Hypotrachyna revoluta"
