"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","recordedBy","stateProvince","DB","BBarcode","b1test","name"
NA,NA,16.693333,49.258889,1960,"10.4.1960",NA,NA,"M-0302874","MUNICH_HTL","Czech Republic, Moravia, Moravsky kras, Ricmanice, near Brno",NA,"A. Vezda",NA,"MUNICH_HTL",NA,81,"Pyrenula nitidella"
NA,NA,16.708252,49.36359,1958,"29.4.1958",NA,NA,"M-0302873","MUNICH_HTL","Czech Republic, Moravia, Moravsky kras, Punkva valley, near Skalní mlyn",NA,"A. Vezda",NA,"MUNICH_HTL",NA,75,"Pyrenula nitidella"
986657,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.798333,54.722778,1943,"5",29,"Denmark","1093008","LD","Fuglsang","General","M. Skytte-Christiansen","Lolland","GBIF",NA,82,"Pyrenula nitidella"
1212214953,"85739778-f762-11e1-a439-00145eb45e9a",7.6717,47.6333,1929,"7",4,"Germany","118855","B","DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.","Lichen Herbarium Berlin","V. J. Grummann",NA,"GBIF",NA,94,"Pyrenula nitidella"
442147896,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.691111,47.551945,1920,"4",25,"Germany","B 60 0128117 / 151957 / 92440","B","Baden: 1) Merkhof bei Wyhlen, 320 m.","Blettaucoll","Lettau, G.",NA,"GBIF",NA,93,"Pyrenula nitidella"
442147850,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.695556,47.643612,1914,"4",12,"Germany","B 60 0112163 / 149412 / 91406","B","Baden: Wald südlich Brombach","Blettaucoll","Lettau, G.",NA,"GBIF",NA,94,"Pyrenula nitidella"
442147921,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.818889,47.620277,1912,"7",7,"Germany","B 60 0128124d / 152001 / 92455","B","Baden: 4) Nordschwaben - Minseln","Blettaucoll","Lettau, G.",NA,"GBIF",NA,94,"Pyrenula nitidella"
442147843,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.823056,47.65139,1911,"3",NA,"Germany","B 60 0112114 / 149064 / 91283","B","Baden: Schopfheim - Hasel unweit s. Kürnberg!","Blettaucoll","Lettau, G.",NA,"GBIF",NA,92,"Pyrenula nitidella"
442147818,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.021944,47.554443,1911,"9",10,"Germany","B 60 0111740 / 147948 / 90913","B","Schwarzwald: Wieladinger Schloss bei Murg","Blettaucoll","Lettau, G.",NA,"GBIF",NA,94,"Pyrenula nitidella"
442147919,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.695833,47.645557,1911,"9",17,"Germany","B 60 0128124c / 151997 / 92454","B","Baden: 3) Sormatt-Tälchen bei Hauingen","Blettaucoll","Lettau, G.",NA,"GBIF",NA,94,"Pyrenula nitidella"
442147898,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1911,"10",11,"Germany","B 60 0128117a / 151959 / 92441","B","Baden: 2) Lörrach - Adelhausen","Blettaucoll","Lettau, G.",NA,"GBIF",NA,97,"Pyrenula nitidella"
442147917,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1910,"6",5,"Germany","B 60 0128124b / 151994 / 92453","B","Baden: 2) Röttler Wald","Blettaucoll","Lettau, G.",NA,"GBIF",NA,94,"Pyrenula nitidella"
NA,NA,12.386504,51.34419,1858,"1858",NA,NA,"M-0302871","MUNICH_HTL","Germany, Saxonia, Leipzig, Gaschitz",NA,"Auerswald",NA,"MUNICH_HTL",NA,90,"Pyrenula nitidella"
